Spectacle	Choreography	Decor	Costumes	Lightning	Music	Original cast	premiere date	First perf Location	place	coordinate location	Duration	Capsule (Y/N)
						Brynar Mehl						
						Sandra Neels						
						Julie Roess-Smith						
						Valda Setterfield						
Un jour ou deux	Merce Cunningham		Jasper Johns		John Cage	Francoise Ambriere	06/11/73	Opera de Paris	Paris	48.856577777778,2.3518277777778	01:30:00	Y
						Claude Ariel						
						Michele Baude						
						Michel Berges						
						Anny Carbonnel						
						Josyanne Consoli						
						Alain Debrus						
						Michael Denard						
						Marie-Claude Dubus						
						Philippe Gerbet						
						Jean-Paul Gravier						
						Jean Guizerix						
						Colette Hauleux						
						Vladimir Huot						
						Danielle Joly						
						Charles Jude						
						Jeanine Julien						
						Gerard Lignon						
						Francis Malovik						
						Thierry Mongne						
						Wilfride Piollet						
						Chantal Quarrez						
						Laure Renaudel						
						Jessica Sordoillet						
						Pascal Vernier						
						Pascal Vincent						
Exercise Piece	Merce Cunningham					Karen Attix	14/02/75	Merce Cunningham Studio	New York City	40.67,-73.94		N
						Meg Harper						
						Catherine Kerr						
						Chris Komar						
						Charles Moulton						
						Valda Setterfield						
						Julie Roess-Smith						
						Robert Kovich						
						Ellen Cornfield						
Westbeth	Merce Cunningham		Mark Lancaster		John Cage	Karen Attix	14/02/74	Merce Cunningham Studio	New York City	40.67,-73.94	00:32:00	N
						Ellen Cornfield						
						Meg Harper						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Brynar Mehl						
						Charles Moulton						
						Julie Roess-Smith						
						Valda Setterfield						
						George Titus						
Rebus	Merce Cunningham	Mark Lancaster	Mark Lancaster			Karen Attix	07/03/75	Music Hall	Detroit	42.331666666667,-83.0475	00:31:00	Y
						Ellen Cornfield						
						Merce Cunningham						
						Meg Harper						
						Susana Hayman-Chaffey						
						Catherine Kerr						
						Chris Komar						
						Robert Kovich						
						Brynar Mehl						
						Charles Moulton						
						Julie Roess-Smith						
Sounddance	Merce Cunningham	Mark Lancaster	Mark Lancaster	Mark Lancaster	David Tudor	Ellen Cornfield	08/03/75	Music Hall	Detroit	42.331666666667,-83.0475	00:17:00	Y
						Merce Cunningham						
						Meg Harper						
						Susana Hayman-Chaffey						
						Catherine Kerr						
						Chris Komar						
